Ticker,Name,Sector,Industry,Price,Collection,Embedding_Dimension
CCRN,"Cross Country Healthcare, Inc.",Services,Staffing & Outsourcing Services,WIKI/CCRN,stocks/ccrn,3
CCUR,Concurrent Computer Corporation,Technology,Computer Based Systems,NA,stocks/ccur,
CDI,CDI Corp.,Services,Staffing & Outsourcing Services,WIKI/CDI,stocks/cdi,2
CDE,"Coeur Mining, Inc.",Basic Materials,Silver,WIKI/CDE,stocks/cde,3
CDII,"CD International Enterprises, Inc.",Services,Business Services,NA,stocks/cdii,
CDR,"Cedar Realty Trust, Inc.",Financial,REIT - Retail,NA,stocks/cdr,
CDXS,"Codexis, Inc.",Healthcare,Biotechnology,NA,stocks/cdxs,
CDNS,Cadence Design Systems Inc.,Technology,Application Software,WIKI/CDNS,stocks/cdns,2
CDZI,Cadiz Inc.,Utilities,Water Utilities,NA,stocks/cdzi,
CEB,Corporate Executive Board Co.,Services,Management Services,WIKI/CEB,stocks/ceb,2
CECE,CECO Environmental Corp.,Industrial Goods,Pollution & Treatment Controls,WIKI/CECE,stocks/cece,2
CDTI,Clean Diesel Technologies Inc.,Industrial Goods,Pollution & Treatment Controls,NA,stocks/cdti,
CECO,Career Education Corp.,Services,Education & Training Services,WIKI/CECO,stocks/ceco,2
CELG,Celgene Corporation,Healthcare,Biotechnology,WIKI/CELG,stocks/celg,3
CELGZ,Celgene Corporation,,,NA,NA,
CEMP,"Cempra, Inc.",Healthcare,Biotechnology,WIKI/CEMP,stocks/cemp,2
CENT,Central Garden & Pet Company,Consumer Goods,Food - Major Diversified,NA,stocks/cent,
CENTA,Central Garden & Pet Company,,,WIKI/CENTA,NA,3
CEMI,"Chembio Diagnostics, Inc.",Healthcare,Diagnostic Substances,NA,stocks/cemi,
CENX,Century Aluminum Co.,Basic Materials,Aluminum,WIKI/CENX,stocks/cenx,2
CEP,Constellation Energy Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,NA,stocks/cep,
CERN,Cerner Corporation,Technology,Healthcare Information Services,WIKI/CERN,stocks/cern,3
CERS,Cerus Corporation,Healthcare,Biotechnology,WIKI/CERS,stocks/cers,2
CETV,Central European Media Enterprises Ltd.,Services,Broadcasting - TV,WIKI/CETV,stocks/cetv,2
CEVA,CEVA Inc.,Technology,Semiconductor - Specialized,WIKI/CEVA,stocks/ceva,2
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Chemicals,WIKI/CF,stocks/cf,2
CFBK,Central Federal Corp.,Financial,Savings & Loans,NA,stocks/cfbk,
CERE,"Ceres, Inc.",Basic Materials,Agricultural Chemicals,NA,stocks/cere,
CFFN,"Capitol Federal Financial, Inc.",Financial,Savings & Loans,WIKI/CFFN,stocks/cffn,3
CFFI,,Financial,Regional - Mid-Atlantic Banks,WIKI/CFFI,stocks/cffi,2
CFI,"Culp, Inc.",Industrial Goods,Textile Industrial,WIKI/CFI,stocks/cfi,3
CFNL,Cardinal Financial Corp.,Financial,Regional - Southeast Banks,WIKI/CFNL,stocks/cfnl,3
CFNB,California First National Bancorp,Financial,Regional - Pacific Banks,WIKI/CFNB,stocks/cfnb,2
CFN,CareFusion Corporation,Healthcare,Medical Instruments & Supplies,WIKI/CFN,stocks/cfn,3
CFR,"Cullen/Frost Bankers, Inc.",Financial,Regional - Southwest Banks,WIKI/CFR,stocks/cfr,2
CFX,Colfax Corporation,Industrial Goods,Diversified Machinery,WIKI/CFX,stocks/cfx,3
CG,The Carlyle Group LP,Financial,Asset Management,NA,NA,
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,NA,stocks/cga,
CGNX,Cognex Corporation,Technology,Scientific & Technical Instruments,WIKI/CGNX,stocks/cgnx,2
CGI,Celadon Group Inc.,Services,Trucking,WIKI/CGI,stocks/cgi,2
CHD,Church & Dwight Co. Inc.,Consumer Goods,Cleaning Products,WIKI/CHD,stocks/chd,2
CHDX,Chindex International Inc.,Services,Medical Equipment Wholesale,WIKI/CHDX,stocks/chdx,1
CHBT,"China-Biotics, Inc.",,,NA,stocks/chbt,
CHE,Chemed Corp.,Healthcare,Home Health Care,WIKI/CHE,stocks/che,2
CHEF,"The Chefs' Warehouse, Inc.",Services,Food Wholesale,WIKI/CHEF,stocks/chef,2
CHCI,"Comstock Holding Companies, Inc.",Industrial Goods,Residential Construction,NA,stocks/chci,
CHEV,Cheviot Financial Corp.,Financial,Money Center Banks,NA,stocks/chev,
CHFC,Chemical Financial Corporation,Financial,Regional - Midwest Banks,WIKI/CHFC,stocks/chfc,2
CHCO,City Holding Co.,Financial,Regional - Mid-Atlantic Banks,WIKI/CHCO,stocks/chco,2
CHFN,Charter Financial Corporation,Financial,Regional - Mid-Atlantic Banks,WIKI/CHFN,stocks/chfn,3
CHGS,"China Gengsheng Minerals, Inc.",Basic Materials,Nonmetallic Mineral Mining,NA,stocks/chgs,
CHH,Choice Hotels International Inc.,Services,Lodging,WIKI/CHH,stocks/chh,2
CHK,Chesapeake Energy Corporation,Basic Materials,Independent Oil & Gas,WIKI/CHK,stocks/chk,3
CHKE,Cherokee Inc.,Services,Apparel Stores,NA,stocks/chke,
CHLN,"China Housing and Land Development, Inc.",Financial,Real Estate Development,NA,stocks/chln,
CHMG,Chemung Financial Corporation,Financial,Regional - Pacific Banks,WIKI/CHMG,stocks/chmg,4
CHMP,Champion Industries Inc.,Consumer Goods,Business Equipment,NA,stocks/chmp,
CHMT,Chemtura Corporation,Basic Materials,Specialty Chemicals,WIKI/CHMT,stocks/chmt,1
CHRW,CH Robinson Worldwide Inc.,Services,Air Delivery & Freight Services,WIKI/CHRW,stocks/chrw,3
CHS,Chico's FAS Inc.,Services,Apparel Stores,WIKI/CHS,stocks/chs,2
CHSCP,"CHS, Inc.",,,NA,NA,
CHTP,Chelsea Therapeutics International Ltd.,Healthcare,Biotechnology,WIKI/CHTP,stocks/chtp,2
CHSP,Chesapeake Lodging Trust,Financial,REIT - Hotel/Motel,NA,NA,
CHUY,"Chuy's Holdings, Inc.",Services,Restaurants,WIKI/CHUY,stocks/chuy,3
CHYR,ChyronHego Corp.,Technology,Application Software,NA,stocks/chyr,
CI,Cigna Corp.,Healthcare,Health Care Plans,WIKI/CI,stocks/ci,2
CIDM,Cinedigm Corp.,Services,Entertainment - Diversified,NA,stocks/cidm,
CIEN,Ciena Corporation,Technology,Communication Equipment,WIKI/CIEN,stocks/cien,2
CIFC,CIFC Corp.,Financial,Asset Management,WIKI/CIFC,NA,3
CIM,Chimera Investment Corporation,Financial,REIT - Diversified,NA,NA,
CINF,Cincinnati Financial Corp.,Financial,Property & Casualty Insurance,WIKI/CINF,stocks/cinf,2
CIR,"CIRCOR International, Inc.",Industrial Goods,Industrial Equipment & Components,WIKI/CIR,stocks/cir,2
CIT,CIT Group Inc.,Financial,Credit Services,WIKI/CIT,stocks/cit,2
CITZ,CFS Bancorp Inc.,,,NA,stocks/citz,
CIX,CompX International Inc.,Services,Security & Protection Services,WIKI/CIX,stocks/cix,2
CIZN,Citizens Holding Company,Financial,Regional - Northeast Banks,NA,stocks/cizn,
CJJD,"China Jo-Jo Drugstores, Inc.",Services,Drug Stores,NA,stocks/cjjd,
CKP,Checkpoint Systems Inc.,Services,Security & Protection Services,WIKI/CKP,stocks/ckp,2
CL,Colgate-Palmolive Co.,Consumer Goods,Personal Products,WIKI/CL,stocks/cl,3
CLB,Core Laboratories NV,Basic Materials,Oil & Gas Equipment & Services,NA,stocks/clb,
CLBH,Carolina Bank Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,NA,stocks/clbh,
CLC,CLARCOR Inc.,Industrial Goods,Pollution & Treatment Controls,WIKI/CLC,stocks/clc,2
CLCT,Collectors Universe Inc.,Services,Business Services,NA,stocks/clct,
CLD,Cloud Peak Energy Inc.,Basic Materials,Industrial Metals & Minerals,WIKI/CLD,stocks/cld,3
CLDT,Chatham Lodging Trust,Financial,REIT - Hotel/Motel,NA,NA,
CKX,CKX Lands Inc.,Financial,Property Management,NA,stocks/ckx,
CLDX,"Celldex Therapeutics, Inc.",Healthcare,Biotechnology,WIKI/CLDX,stocks/cldx,3
CLF,Cliffs Natural Resources Inc.,Basic Materials,Industrial Metals & Minerals,WIKI/CLF,stocks/clf,2
CLFD,"Clearfield, Inc.",Technology,Communication Equipment,NA,stocks/clfd,
CLIR,Clearsign Combustion Corp.,Industrial Goods,Pollution & Treatment Controls,NA,stocks/clir,
CLMS,Calamos Asset Management Inc.,Financial,Asset Management,WIKI/CLMS,stocks/clms,2
CLNE,Clean Energy Fuels Corp.,Utilities,Gas Utilities,WIKI/CLNE,stocks/clne,3
CLNT,"Cleantech Solutions International, Inc.",Industrial Goods,Diversified Machinery,NA,stocks/clnt,
CLNY,"Colony Financial, Inc.",Financial,REIT - Diversified,NA,stocks/clny,
CLR,"Continental Resources, Inc.",Basic Materials,Independent Oil & Gas,WIKI/CLR,stocks/clr,2
CLRO,"ClearOne, Inc.",Technology,Communication Equipment,NA,stocks/clro,
CLRX,"CollabRx, Inc.",Technology,Application Software,NA,stocks/clrx,
CLSN,Celsion Corp.,Healthcare,Biotechnology,NA,stocks/clsn,
CLW,Clearwater Paper Corporation,Consumer Goods,Paper & Paper Products,WIKI/CLW,stocks/clw,2
CLVS,"Clovis Oncology, Inc.",Healthcare,Biotechnology,WIKI/CLVS,stocks/clvs,2
CLX,The Clorox Company,Consumer Goods,Housewares & Accessories,WIKI/CLX,stocks/clx,3
CLUB,Town Sports International Holdings Inc.,Services,Sporting Activities,WIKI/CLUB,stocks/club,2
CMC,Commercial Metals Company,Basic Materials,Steel & Iron,WIKI/CMC,stocks/cmc,3
CMA,Comerica Incorporated,Financial,Money Center Banks,WIKI/CMA,stocks/cma,2
CMCO,Columbus McKinnon Corporation,Industrial Goods,Farm & Construction Machinery,WIKI/CMCO,stocks/cmco,3
CMCSK,Comcast Corporation,,,NA,stocks/cmcsk,
CME,CME Group Inc.,Financial,Investment Brokerage - National,WIKI/CME,stocks/cme,2
CMCSA,Comcast Corporation,Services,Entertainment - Diversified,WIKI/CMCSA,stocks/cmcsa,2
CMFO,China Marine Food Group Limited,Consumer Goods,Processed & Packaged Goods,NA,stocks/cmfo,
CMG,"Chipotle Mexican Grill, Inc.",Services,Restaurants,WIKI/CMG,stocks/cmg,3
CMI,Cummins Inc.,Industrial Goods,Diversified Machinery,WIKI/CMI,stocks/cmi,2
CMKG,"mktg, inc.",Services,Marketing Services,NA,stocks/cmkg,
CMLP,Crestwood Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,NA,stocks/cmlp,
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,WIKI/CMLS,stocks/cmls,2
CMP,Compass Minerals International Inc.,Basic Materials,Industrial Metals & Minerals,WIKI/CMP,stocks/cmp,2
CMRO,"Comarco, Inc.",Technology,Communication Equipment,NA,stocks/cmro,
CMN,Cantel Medical Corp.,Healthcare,Medical Instruments & Supplies,WIKI/CMN,stocks/cmn,1
CMRX,"Chimerix, Inc.",Healthcare,Biotechnology,WIKI/CMRX,stocks/cmrx,2
CMTL,Comtech Telecommunications Corp.,Technology,Communication Equipment,WIKI/CMTL,stocks/cmtl,3
CNBKA,Century Bancorp Inc.,Financial,Regional - Northeast Banks,WIKI/CNBKA,stocks/cnbka,2
CNC,Centene Corp.,Healthcare,Health Care Plans,WIKI/CNC,stocks/cnc,2
CNDO,"Coronado Biosciences, Inc.",Healthcare,Biotechnology,WIKI/CNDO,stocks/cndo,2
CNK,Cinemark Holdings Inc.,Services,"Movie Production, Theaters",WIKI/CNK,stocks/cnk,2
CNL,Cleco Corporation,Utilities,Electric Utilities,WIKI/CNL,stocks/cnl,3
CNA,CNA Financial Corporation,Financial,Property & Casualty Insurance,WIKI/CNA,stocks/cna,2
CNBC,"Center Bancorp, Inc.",Financial,Regional - Northeast Banks,WIKI/CNBC,stocks/cnbc,2
CNO,"CNO Financial Group, Inc.",Financial,Accident & Health Insurance,WIKI/CNO,stocks/cno,2
CNMD,CONMED Corporation,Healthcare,Medical Appliances & Equipment,WIKI/CNMD,stocks/cnmd,3
CNOB,"ConnectOne Bancorp, Inc.",Financial,Regional - Mid-Atlantic Banks,WIKI/CNOB,stocks/cnob,2
CNQR,"Concur Technologies, Inc.",Technology,Technical & System Software,WIKI/CNQR,stocks/cnqr,2
CNS,Cohen & Steers Inc.,Financial,Asset Management,WIKI/CNS,stocks/cns,2
CNSI,"Comverse, Inc.",Services,Business Services,WIKI/CNSI,stocks/cnsi,2
CNSL,Consolidated Communications Holdings Inc.,Technology,Telecom Services - Domestic,WIKI/CNSL,stocks/cnsl,2
CNW,Con-way Inc.,Services,Trucking,WIKI/CNW,stocks/cnw,2
CNX,CONSOL Energy Inc.,Basic Materials,Independent Oil & Gas,WIKI/CNX,stocks/cnx,3
CNYD,"China Yida Holding, Co.",Services,Personal Services,NA,stocks/cnyd,
COBK,"Colonial Financial Services, Inc.",Financial,Regional - Northeast Banks,NA,stocks/cobk,
COBZ,CoBiz Financial Inc.,Financial,Regional - Southwest Banks,WIKI/COBZ,stocks/cobz,2
COCO,Corinthian Colleges Inc.,Services,Education & Training Services,WIKI/COCO,stocks/coco,3
CODI,Compass Diversified Holdings,Conglomerates,Conglomerates,NA,stocks/codi,
COF,Capital One Financial Corporation,Financial,Credit Services,WIKI/COF,stocks/cof,2
COG,Cabot Oil & Gas Corporation,Basic Materials,Independent Oil & Gas,WIKI/COG,stocks/cog,2
COH,"Coach, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/COH,stocks/coh,2
COHR,Coherent Inc.,Technology,Scientific & Technical Instruments,WIKI/COHR,stocks/cohr,2
COKE,Coca-Cola Bottling Co. Consolidated,Consumer Goods,Beverages - Soft Drinks,WIKI/COKE,stocks/coke,3
COL,Rockwell Collins Inc.,Industrial Goods,Aerospace/Defense Products & Services,WIKI/COL,stocks/col,2
COHU,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/COHU,stocks/cohu,3
COLB,Columbia Banking System Inc.,Financial,Savings & Loans,WIKI/COLB,stocks/colb,3
COLM,Columbia Sportswear Company,Consumer Goods,Textile - Apparel Clothing,WIKI/COLM,stocks/colm,2
CONN,Conns Inc.,Services,Electronics Stores,WIKI/CONN,stocks/conn,3
COO,The Cooper Companies Inc.,Healthcare,Medical Instruments & Supplies,WIKI/COO,stocks/coo,2
COOL,Majesco Entertainment Co.,Technology,Multimedia & Graphics Software,NA,stocks/cool,
COP,ConocoPhillips,Basic Materials,Independent Oil & Gas,WIKI/COP,stocks/cop,2
COR,CoreSite Realty Corporation,Financial,REIT - Office,NA,stocks/cor,
CORT,Corcept Therapeutics Incorporated,Healthcare,Biotechnology,WIKI/CORT,stocks/cort,3
CORX,"Cortex Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Other,NA,stocks/corx,
COSI,Cosi Inc.,Services,Restaurants,NA,stocks/cosi,
COST,Costco Wholesale Corporation,Services,"Discount, Variety Stores",WIKI/COST,stocks/cost,2
COT,Cott Corporation,Consumer Goods,Beverages - Soft Drinks,NA,stocks/cot,
COV,Covidien plc,Healthcare,Medical Instruments & Supplies,WIKI/COV,stocks/cov,3
COVR,Cover-All Technologies Inc.,,,NA,stocks/covr,
COWN,"Cowen Group, Inc.",Financial,Investment Brokerage - National,WIKI/COWN,stocks/cown,2
CPAH,CounterPath Corporation,,,NA,stocks/cpah,
CPB,Campbell Soup Company,Consumer Goods,Processed & Packaged Goods,WIKI/CPB,stocks/cpb,2
CPE,Callon Petroleum Company,Basic Materials,Independent Oil & Gas,WIKI/CPE,stocks/cpe,1
CPF,Central Pacific Financial Corp.,Financial,Regional - Pacific Banks,WIKI/CPF,stocks/cpf,2
CPGI,China Shengda Packaging Group Inc.,Consumer Goods,Packaging & Containers,NA,stocks/cpgi,
CPHD,Cepheid,Technology,Scientific & Technical Instruments,WIKI/CPHD,stocks/cphd,2
CPIX,"Cumberland Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Other,NA,stocks/cpix,
CPHC,Canterbury Park Holding Corporation,Services,Gaming Activities,NA,stocks/cphc,
CPN,Calpine Corp.,Utilities,Electric Utilities,WIKI/CPN,stocks/cpn,2
CPRT,"Copart, Inc.",Services,Auto Dealerships,WIKI/CPRT,stocks/cprt,3
CPLA,Capella Education Co.,Services,Education & Training Services,WIKI/CPLA,stocks/cpla,2
CPRX,Catalyst Pharmaceutical Partners Inc.,Healthcare,Drugs - Generic,NA,stocks/cprx,
CPSI,Computer Programs & Systems Inc.,Technology,Healthcare Information Services,WIKI/CPSI,stocks/cpsi,2
CPSL,"China Precision Steel, Inc.",Basic Materials,Steel & Iron,NA,stocks/cpsl,
CPST,Capstone Turbine Corp.,Industrial Goods,Industrial Electrical Equipment,WIKI/CPST,stocks/cpst,2
CPT,Camden Property Trust,Financial,REIT - Residential,NA,stocks/cpt,
CRAI,CRA International Inc.,Services,Management Services,WIKI/CRAI,stocks/crai,2
CPWR,Compuware Corporation,Technology,Application Software,WIKI/CPWR,stocks/cpwr,2
CRAY,Cray Inc.,Technology,Diversified Computer Systems,WIKI/CRAY,stocks/cray,3
CRDC,Cardica Inc.,Healthcare,Medical Instruments & Supplies,NA,stocks/crdc,
CREE,"Cree, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/CREE,stocks/cree,3
CRIS,"Curis, Inc.",Healthcare,Biotechnology,WIKI/CRIS,stocks/cris,2
CRK,Comstock Resources Inc.,Basic Materials,Independent Oil & Gas,WIKI/CRK,stocks/crk,3
CRL,"Charles River Laboratories International, Inc.",Healthcare,Medical Laboratories & Research,WIKI/CRL,stocks/crl,2
CRMD,"CorMedix, Inc.",Healthcare,Biotechnology,NA,stocks/crmd,
CRMT,America's Car-Mart Inc.,Services,Auto Dealerships,WIKI/CRMT,stocks/crmt,2
CROX,"Crocs, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/CROX,stocks/crox,2
CRMB,"Crumbs Bake Shop, Inc.",Consumer Goods,Food - Major Diversified,NA,stocks/crmb,
CRR,CARBO Ceramics Inc.,Basic Materials,Oil & Gas Equipment & Services,WIKI/CRR,stocks/crr,3
CRRC,Courier Corporation,Services,Publishing - Books,WIKI/CRRC,stocks/crrc,1
CRRS,"Corporate Resource Services, Inc.",Services,Staffing & Outsourcing Services,NA,stocks/crrs,
CRS,Carpenter Technology Corp.,Industrial Goods,Metal Fabrication,WIKI/CRS,stocks/crs,2
CRTX,Cornerstone Therapeutics Inc.,,,NA,stocks/crtx,
CRUS,Cirrus Logic Inc.,Technology,Semiconductor - Specialized,WIKI/CRUS,stocks/crus,2
CRV,Coast Distribution System Inc.,Services,Auto Parts Wholesale,NA,stocks/crv,
CRVL,CorVel Corporation,Financial,Insurance Brokers,WIKI/CRVL,stocks/crvl,3
CRVP,"Crystal Rock Holdings, Inc.",Consumer Goods,Beverages - Soft Drinks,NA,stocks/crvp,
CRWS,"Crown Crafts, Inc.",Consumer Goods,Textile - Apparel Clothing,NA,stocks/crws,
CRY,CryoLife Inc.,Healthcare,Medical Appliances & Equipment,WIKI/CRY,stocks/cry,2
CSBK,Clifton Bancorp Inc.,Financial,Savings & Loans,WIKI/CSBK,stocks/csbk,3
CSCD,Cascade Microtech Inc.,Technology,Semiconductor Equipment & Materials,NA,stocks/cscd,
CSC,Computer Sciences Corporation,Technology,Information Technology Services,WIKI/CSC,stocks/csc,2
CSCO,"Cisco Systems, Inc.",Technology,Networking & Communication Devices,WIKI/CSCO,stocks/csco,2
CSFL,"CenterState Banks, Inc.",Financial,Regional - Southeast Banks,WIKI/CSFL,stocks/csfl,2
CSGP,CoStar Group Inc.,Financial,Property Management,WIKI/CSGP,stocks/csgp,2
CSGS,CSG Systems International Inc.,Technology,Business Software & Services,WIKI/CSGS,stocks/csgs,2
CSH,"Cash America International, Inc.",Financial,Credit Services,WIKI/CSH,stocks/csh,2
CSHB,Community Shores Bank Corp.,Financial,Regional - Southwest Banks,NA,stocks/cshb,
CSII,Cardiovascular Systems Inc.,Healthcare,Medical Appliances & Equipment,WIKI/CSII,stocks/csii,2
CSL,Carlisle Companies Incorporated,Consumer Goods,Rubber & Plastics,WIKI/CSL,stocks/csl,2
CSOD,"Cornerstone OnDemand, Inc.",Technology,Application Software,WIKI/CSOD,stocks/csod,2
CSPI,CSP Inc.,Technology,Information Technology Services,NA,stocks/cspi,
CSS,CSS Industries Inc.,Services,"Specialty Retail, Other",WIKI/CSS,stocks/css,2
CST,"CST Brands, Inc.",Services,"Specialty Retail, Other",WIKI/CST,NA,3
CSV,Carriage Services Inc.,Services,Personal Services,WIKI/CSV,stocks/csv,2
CSWC,Capital Southwest Corporation,Financial,Asset Management,WIKI/CSWC,NA,2
CSX,CSX Corp.,Services,Railroads,WIKI/CSX,stocks/csx,2
CTAS,Cintas Corporation,Services,Business Services,WIKI/CTAS,stocks/ctas,2
CTB,Cooper Tire & Rubber Co.,Consumer Goods,Rubber & Plastics,WIKI/CTB,stocks/ctb,2
CTBI,Community Trust Bancorp Inc.,Financial,Regional - Southeast Banks,WIKI/CTBI,stocks/ctbi,2
CTCT,"Constant Contact, Inc.",Services,Marketing Services,WIKI/CTCT,stocks/ctct,2
CTG,Computer Task Group Inc.,Technology,Information Technology Services,NA,stocks/ctg,
CTHR,Charles & Colvard Ltd.,Services,Jewelry Stores,NA,stocks/cthr,
CTIB,CTI Industries Corp.,Consumer Goods,Rubber & Plastics,NA,stocks/ctib,
CTL,"CenturyLink, Inc.",Technology,Telecom Services - Domestic,WIKI/CTL,stocks/ctl,2
CTO,Consolidated Tomoka Land Co.,Financial,Real Estate Development,WIKI/CTO,stocks/cto,2
CTRN,"Citi Trends, Inc.",Services,Apparel Stores,WIKI/CTRN,stocks/ctrn,3
CTS,CTS Corporation,Technology,Diversified Electronics,WIKI/CTS,stocks/cts,3
CTSH,Cognizant Technology Solutions Corporation,Technology,Business Software & Services,WIKI/CTSH,stocks/ctsh,2
CTWS,Connecticut Water Service Inc.,Utilities,Water Utilities,WIKI/CTWS,stocks/ctws,2
CTXS,"Citrix Systems, Inc.",Technology,Business Software & Services,WIKI/CTXS,stocks/ctxs,2
CUB,Cubic Corporation,Technology,Scientific & Technical Instruments,WIKI/CUB,stocks/cub,2
CUBI,"Customers Bancorp, Inc.",Financial,Regional - Northeast Banks,WIKI/CUBI,NA,2
CUI,"CUI Global, Inc.",Industrial Goods,Industrial Electrical Equipment,NA,stocks/cui,
CUNB,CU Bancorp,Financial,Regional - Pacific Banks,WIKI/CUNB,stocks/cunb,2
CUO,Continental Materials Corp.,Industrial Goods,Diversified Machinery,NA,stocks/cuo,
CUTR,"Cutera, Inc.",Healthcare,Medical Appliances & Equipment,WIKI/CUTR,stocks/cutr,3
CUZ,Cousins Properties Incorporated,Financial,REIT - Diversified,NA,stocks/cuz,
CVA,Covanta Holding Corporation,Industrial Goods,Waste Management,WIKI/CVA,stocks/cva,2
CVBF,CVB Financial Corp.,Financial,Regional - Pacific Banks,WIKI/CVBF,stocks/cvbf,2
CVC,Cablevision Systems Corporation,Services,CATV Systems,WIKI/CVC,stocks/cvc,2
CVBK,Central Virginia Bankshares Inc.,,,NA,stocks/cvbk,
CVCO,"Cavco Industries, Inc.",Industrial Goods,Manufactured Housing,WIKI/CVCO,stocks/cvco,2
CVCY,Central Valley Community Bancorp,Financial,Regional - Pacific Banks,NA,stocks/cvcy,
CVD,Covance Inc.,Healthcare,Medical Laboratories & Research,WIKI/CVD,stocks/cvd,2
CVG,Convergys Corporation,Services,Business Services,WIKI/CVG,stocks/cvg,3
CVGI,Commercial Vehicle Group Inc.,Services,Auto Parts Wholesale,WIKI/CVGI,stocks/cvgi,2
CVI,"CVR Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,WIKI/CVI,stocks/cvi,2
CVGW,Calavo Growers Inc.,Consumer Goods,Farm Products,WIKI/CVGW,stocks/cvgw,3
CVLT,"CommVault Systems, Inc.",Technology,Application Software,WIKI/CVLT,stocks/cvlt,2
CVLY,Codorus Valley Bancorp Inc.,Financial,Regional - Northeast Banks,NA,stocks/cvly,
CVM,CEL-SCI Corporation,Healthcare,Biotechnology,NA,stocks/cvm,
CVO,Cenveo Inc.,Services,Business Services,WIKI/CVO,stocks/cvo,3
CVR,Chicago Rivet & Machine Co.,Industrial Goods,Machine Tools & Accessories,NA,stocks/cvr,
CVTI,"Covenant Transportation Group, Inc.",Services,Trucking,NA,stocks/cvti,
CVS,CVS Caremark Corporation,Services,Drug Stores,WIKI/CVS,stocks/cvs,2
CVU,CPI Aerostructures Inc.,Industrial Goods,Aerospace/Defense Products & Services,NA,stocks/cvu,
CVV,CVD Equipment Corporation,Industrial Goods,Diversified Machinery,NA,stocks/cvv,
CVVT,"China Valves Technology, Inc.",Industrial Goods,Industrial Equipment & Components,NA,stocks/cvvt,
CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas,WIKI/CVX,stocks/cvx,2
CW,Curtiss-Wright Corporation,Technology,Scientific & Technical Instruments,WIKI/CW,stocks/cw,3
CWBC,Community West Bancshares,Financial,Regional - Pacific Banks,NA,stocks/cwbc,
CWCO,Consolidated Water Co. Ltd.,Utilities,Water Utilities,WIKI/CWCO,stocks/cwco,2
CWEI,"Clayton Williams Energy, Inc.",Basic Materials,Independent Oil & Gas,WIKI/CWEI,stocks/cwei,3
CWH,CommonWealth REIT,,,NA,stocks/cwh,
CWHN,CommonWealth REIT,,,NA,NA,
CWST,Casella Waste Systems Inc.,Industrial Goods,Waste Management,WIKI/CWST,stocks/cwst,2
CWT,California Water Service Group,Utilities,Water Utilities,WIKI/CWT,stocks/cwt,2
CWTR,Coldwater Creek Inc.,Consumer Goods,Textile - Apparel Footwear & Accessories,NA,stocks/cwtr,
CXDC,China XD Plastics Company Ltd.,Consumer Goods,Rubber & Plastics,NA,stocks/cxdc,
CXO,"Concho Resources, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,WIKI/CXO,stocks/cxo,2
CXP,"Columbia Property Trust, Inc.",Financial,REIT - Office,NA,stocks/cxp,
CXPO,Crimson Exploration Inc.,,,NA,stocks/cxpo,
CXW,Corrections Corporation of America,Financial,REIT - Diversified,NA,stocks/cxw,
CY,Cypress Semiconductor Corporation,Technology,Semiconductor - Broad Line,WIKI/CY,stocks/cy,3
CYAN,Cyanotech Corp.,Healthcare,Biotechnology,NA,stocks/cyan,
CYB,WisdomTree Chinese Yuan Strategy,,,NA,stocks/cyb,
CYBE,CyberOptics Corp.,Technology,Scientific & Technical Instruments,NA,stocks/cybe,
CYBX,Cyberonics Inc.,Healthcare,Medical Appliances & Equipment,WIKI/CYBX,stocks/cybx,2
CYCC,"Cyclacel Pharmaceuticals, Inc.",Healthcare,Biotechnology,NA,stocks/cycc,
CYCCP,"Cyclacel Pharmaceuticals, Inc.",,,NA,NA,
CYH,"Community Health Systems, Inc.",Healthcare,Hospitals,WIKI/CYH,stocks/cyh,2
CYN,City National Corporation,Financial,Money Center Banks,WIKI/CYN,stocks/cyn,2
CYNI,"Cyan, Inc.",Technology,Communication Equipment,WIKI/CYNI,stocks/cyni,3
CYNO,"Cynosure, Inc.",Healthcare,Medical Appliances & Equipment,WIKI/CYNO,stocks/cyno,2
CYS,"CYS Investments, Inc.",Financial,Mortgage Investment,NA,NA,
CYT,Cytec Industries Inc.,Basic Materials,Specialty Chemicals,WIKI/CYT,stocks/cyt,2
CYTK,"Cytokinetics, Incorporated",Healthcare,Biotechnology,WIKI/CYTK,stocks/cytk,2
CYTR,CytRx Corporation,Healthcare,Biotechnology,NA,stocks/cytr,
CYTX,"Cytori Therapeutics, Inc.",Healthcare,Biotechnology,WIKI/CYTX,stocks/cytx,2
CYTXW,Cytori Therapeutics Inc,,,NA,NA,
